brand,name,price,decimals,currency,price_without_vat,availability,description
XIAOMI,Xiaomi MI A2 LITE 4GB 64GB Negro – Smartphone,189,0,€,"156,20€ (sin IVA)",,"El Xiaomi Mi A2 Lite ya ha llegado. Después del éxito conseguido por Xiaomi con el Mi A1, el fabricante chino acaba de presentar a uno de sus sucesores: el Xiaomi Mi A2 Lite. Esta version con 4GB de Ram y 64GB de almacenamiento en color Dorado!"
XIAOMI,XIAOMI MI A1 5.5″ 32GB 4GB Rojo- Smartphone,195,"0,03",€,"161,19€ (sin IVA)",,"Procesador,procesador snapdragon 625 octa-core, 2.0ghz max,14nm finfet, alto rendimiento y eficiencia energética,procesador de gráficos adreno 506 de 650mhz,memoria,4gb +32gb,4gb ram,32gb de almacenamiento interno,hasta 128gb de almacenamiento expandible (microsd),dimensiones,altura: 155.4 mm,anchura: 75.8 mm,grosor: 7.3 mm,peso: 165 g,cámara y video,cámara dual,lente con gran angular,12mp 1.25m f/2.2,distancia focal equivalente de 26mm,lente de 5 elementos,flash de dos tonos,lentes telefoto,12mp 1.0 m, f/2.6,distancia focal equivalente de 50mm,lente de 5 elementos,zoom óptico 2x,enfoque de fases pdaf,realces fotográficos en poca luz,ajuste de hdr,modo panorámico,modo ráfaga,función de reconocimiento facial,cámara frontal,5mp 1.12m, f/2,modo belleza con 36 perfiles de belleza inteligentes,temporizador para selfie,reconocimiento facial,video,4k / 1080p / 720p video, 30 fps,cámara lenta de 720p, 120 fps,batería,3080mah(typ) / 3000mah(min)*,carga 5v / 2a,usb reversible tipo c,pantalla,pantalla full hd ltps de 5,5 pulgadas (diagonal),brillo de 450nit,resolución 1920 x 1080, 403 ppi,radio de contraste 1000: 1,conectividad,y conexión inalïmbrica,3-elige-2,nano-sim/microsd,compatible con protocolos 802.11a/b/g/n/ac,compatible con 2.4/5g wifi / wifi direct / pantalla wifi,compatible con bluetooth 4.2/hid,4g,da soporte a volte/4g/3g/2g en redes compatibles,botones e interfaz,gps de navegación,y posicionamiento,    gps,    agps,    glonass,    beidou,sensores,    infrarrojo,    sensor de luz ambiental,    giroscopio,    sensor hall,    acelerómetro,    sensor de huella dactilar,    sensor de proximidad,multimedia,    mp4,    m4v,    mkv,    xvid,    wav,    aac/aac+eaac+,    mp3,    amr-nb/wb,    flac,    pcm,formatos compatibles: h.265 /hevc (perfil principal), h.264 (estándar / medio / ,alto perfil), mpeg4 (perfil simple / asp),contenido del paquete,mi a1,adaptador de corriente,cable usb,guía de usuario/tarjeta de garantía,herramienta de inserción de sim"
XIAOMI,XIAOMI MI A1 5.5″ 4GB 64GB Negro – Smartphone,199,"0,31",€,"164,72€ (sin IVA)",,MOVIL XIAOMI MI A1 4GB 64GB NEGRO MOVIL XIAOMI MI A1 4GB 64GB NEGRO OCTACORE  4GB  64GB  5.5
BQ,BQ Aquaris V 5.2″ 3GB 32GB Negro – Smartphone,199,0,€,"164,46€ (sin IVA)",Sólo queda 1 unidad,"El metal imprime carácter y marca tendencia, por eso es la seña de identidad de la gama V. El aluminio anodizado abraza el dispositivo realzando sus contornos, fusionándose con el lector de huellas y proporcionando una resistencia sin precedentes. Cada detalle está meticulosamente diseñado, como la forma del flash, el anillo que rodea y protege la cámara o la curvatura del metal. La vida se ve mejor desde una impresionante pantalla de 5,2”, con cristal 2,5D y 520 nits de brillo. El color inunda Instagram, tus series y tus vídeos, que no volverán a ser lo mismo. Con su funcionalidad de pantalla múltiple podrás tener dos aplicaciones abiertas a la vez y, gracias al cristal japonés ultrarresistente NEG Dinorex, los arañazos serán cosa del pasado. Sabemos que tu móvil se ha convertido en tu cámara, por eso es una de nuestras prioridades. En Aquaris V, su cámara trasera de 12 MP con Big Pixel y apertura f/2.0 captura fotos de gran calidad en cualquier situación y, gracias a su enfoque ultrarrápido con tecnología PDAF, lo difícil será sacar malas fotos. Sólo una buena cámara puede sacar un buen selfie. Por eso, la cámara delantera de 8 MP del Aquaris V incorpora Flash frontal para darte el toque de luz imprescindible. Y con el modo Face Beauty, que detecta los rostros y modifica su claridad y suavidad, conseguirás un efecto uniforme e impecable. Muestra al mundo tu mejor cara. Porque ni paras ni puedes esperar, necesitas un smartphone que siga tu ritmo 24/7. Con su batería de 3100 mAh tendrás más de 36 horas2 de uso y con su sistema de carga rápida Qualcomm® Quick Charge™ 3.0 podrás cargar hasta un 50% en poco más de media hora*.  Tú eres multitarea y tu móvil también debe serlo. Con el procesador Qualcomm® Snapdragon™ 435 y sus ocho núcleos podrás hacer todo lo que quieras al máximo rendimiento: juega, navega, descarga, escucha, corre…. O disfruta de todas las novedades que Android 8 Oreo traerá a tu Aquaris V. Don´t stop! El audio es una de las claves de la experiencia multimedia. Disfruta de un sonido rico, vibrante y lleno de matices en tu Aquaris V gracias a su altavoz con Smart PA. Y como incorpora el códec Bluetooth® aptX™, ofrece una experiencia sonora multidispositivo sin límites. Adiós cartera. Gracias a la tecnología NFC podrás salir sólo con tu Aquaris V y pagar directamente desde él de forma rápida y segura. J151"
XIAOMI,XIAOMI MI A2 5.9″ 4GB 32GB Negro – Smartphone,202,"0,01",€,"166,95€ (sin IVA)",,"Le selección inteligente de la lente está* basada en los sensores de luz de Sony y en la gran apertura de ƒ/1.75** lo que te permitirá elegir la mejor según su configuración. Haz fotos más claras durante el día gracias a la lente de 12 MP y sus píxeles de 1,25 µm. Consigue fotos más luminosas en situaciones de poca luz con la ayuda de la lente de 20 MP y el superpíxel 4 en 1, basado en la tecnología píxel binning. Los píxeles ultragraneds de 2 µm son 4 veces más sensibles a la luz. Relación de aspecto 18:9 , Pantalla FHD más grande de 5,99″"
XIAOMI,XIAOMI REDMI NOTE 5 5.99″ SD636 4GB 64GB Negro – Smartphone,208,"0,47",€,"172,29€ (sin IVA)",,"El acelerado crecimiento de Xiaomi no deja lugar a dudas, la casa China pisa fuerte y apuesta al 5 con su presentación del nuevo Xiaomi Redmi Note 5, cuya presentación se ha llevado a cabo en pleno día de San Valentín en Nueva Delhi junto a una nueva versión, el Xiaomi Redmi Note 5 Pro. Xiaomi ha llegado para quedarse, tras posicionarse como la primera marca de smartphones del mercado Chino. Desde que se posicionó por delante del Galaxy S4 y el iPhone 5, Xiaomi no deja de sorprendernos con precios asequibles y buenas prestaciones. Ahora da un salto adelante y apuesta por la innovación de su gama Redmi Note, la gama más exitosa de la marca y su primer lanzamiento del año. Se trata del Redmi Note 5, que promete amor a primera vista."
"XIAOMI,XIAOMI","XIAOMI MI A1 5.5″ 64GB 4GB Dorado – Smartphone,XIAOMI MI A1 5.5″ 64GB 4GB Dorado – Smartphone","208,2","0,64",€,"172,43€ (sin IVA),166,08€ (sin IVA)",Sólo quedan 2 unidades,"MOVIL SMARTPHONE XIAOMI MI A1 4GB 64GB DORADO MOVIL XIAOMI MI A1 4GB 64GB DORADO OCTACORE  4GB  64GB  5.5  MZB5676EU,MOVIL XIAOMI MI A1 4GB 64GB DORADO MOVIL XIAOMI MI A1 4GB 64GB DORADO OCTACORE  4GB  64GB  5.5"
BQ,BQ Aquaris V PLUS 5.5″ 3GB 32GB Negro – Smartphone,219,0,€,"180,99€ (sin IVA)",Sólo queda 1 unidad,"Da el salto a las 5,5” con una pantalla que lo tiene todo. Sus colores vibrantes e hiperrealistas, su resolución FHD y su brillo de hasta 525 nits se unen al cristal curvo 2,5D para ofrecerte la mejor experiencia multimedia y a la tecnología NEG Dinorex para hacerla ultrarresistente a golpes y arañazos. Y con su funcionalidad de pantalla múltiple podrás tener dos aplicaciones abiertas a la vez para no perderte ni un detalle. Sabemos que tu móvil se ha convertido en tu cámara, por eso es una de nuestras prioridades. En Aquaris V Plus, su cámara trasera de 12 MP con Big Pixel y apertura f/2.0 captura fotos de gran calidad en cualquier situación y, gracias a su enfoque ultrarrápido con tecnología PDAF, lo difícil será sacar malas fotos. El metal imprime carácter y marca tendencia, por eso es la seña de identidad de la gama V. El aluminio anodizado abraza el dispositivo realzando sus contornos, fusionándose con el lector de huellas y proporcionando una resistencia sin precedentes. Cada detalle está meticulosamente diseñado, como la forma del flash, el anillo que rodea y protege la cámara o la curvatura del metal. Sólo una buena cámara puede sacar un buen selfie. Por eso, la cámara delantera de 8 MP del Aquaris V Plus incorpora Flash frontal para darte el toque de luz imprescindible. Y con el modo Face Beauty, que detecta los rostros y modifica su claridad y suavidad, conseguirás un efecto uniforme e impecable. Muestra al mundo tu mejor cara.Porque ni paras ni puedes esperar, necesitas un smartphone que siga tu ritmo 24/7. Con su batería de 3400 mAh tendrás más de 36 horas2 de uso y con su sistema de carga rápida Qualcomm® Quick Charge™ 3.0 podrás cargar hasta un 50% en poco más de media hora*. ú eres multitarea y tu móvil también debe serlo. Con el procesador Qualcomm® Snapdragon™ 435 y sus ocho núcleos podrás hacer todo lo que quieras al máximo rendimiento: juega, navega, descarga, escucha, corre…. O disfruta de todas las novedades que Android 8 Oreo traerá a tu Aquaris V Plus. Don´t stop! El audio es una de las claves de la experiencia multimedia. Disfruta de un sonido rico, vibrante y lleno de matices gracias a su altavoz con Smart PA. Y como incorpora el códec Bluetooth® aptX™, ofrece una experiencia sonora multidispositivo sin límites. Adiós cartera. Gracias a la tecnología NFC podrás salir sólo con tu Aquaris V Plus y pagar directamente desde él de forma rápida y segura. J151"
BQ,BQ Aquaris X 5.2″ 3GB 32GB Rosa – Smartphone,233,"0,37",€,"192,87€ (sin IVA)",Sólo queda 1 unidad,bq Aquaris X – Smartphone – SIM doble – 4G LTE – 32 GB – microSDXC slot – GSM – 5.2″ – 1920 x 1080 píxeles (423 ppi) – LTPS IPS – RAM 3 GB – 16 MP (cámara frontal de 8 MP) – Android – rosa perla
XIAOMI,XIAOMI MI A2 5.9″ 64GB 4GB Negro – Smartphone,249,0,€,"205,79€ (sin IVA)",,"Xiaomi Mi A2 llega a España y lo hace con grandes novedades. Xiaomi lanza al mercado la nueva versión de sus móviles con Android One, la versión más pura del sistema operativo que entre otras ventajas destaca su fluidez, estabilidad y un ritmo constante de actualizaciones. J151"
