brand,name,price,decimals,currency,price_without_vat,availability,description
HP,HP 250 G6 i3 6006 4GB 500GB W10 – Portátil,374,"0,74",€,"309,71€ (sin IVA)",,Realiza todas las tareas con este portatil de hp con procesador i3 de sexta generacion 4gb de memoria ram y 500 gb de disco duro
HP,HP 15-BS093NS N3060 8GB 500GB W10 – Portátil,379,0,€,"313,23€ (sin IVA)",,HP 15-BS093NS J151
ACER,Acer TMB238M G4405 4GB 128GB 13.3″ W10Pro EDU – Portátil,397,"0,1",€,"328,18€ (sin IVA)",,"Intel® G4405 4GB RAM DDR, 128GB EMMC, 13.3″ LED HD, Intel HD Graphics 620,  Windows 10 Pro"
ASUS,ASUS A542UA GQ1013 i3 8130 4GB 256GB DOS – Portátil,399,0,€,"329,76€ (sin IVA)",,Especificaciones:. Procesador. Intel i3-8130U 2.2GHz. Pantalla. 15.6′ Slim HD 39.6cm. Memoria RAM. 4GB. Almacenamiento. SSD 256GB. Gráficos. Intel UHD Graphics 620. Unidad optica. -. Red inalambrica. WIFI – BT. Red. . Interfaz. USB 2.0. USB 3.0 * 2. USB 3.1. Bateria. 2 celdas 38w. Sistema operativo. Endless Os
HP,HP 15-BS006NS I3 6006 4GB 500GB W10 – Portátil,399,0,€,"329,76€ (sin IVA)",,"Realiza todas las tareas diarias con éxito utilizando el elegante portátil HP 15-BS006NS creado para mantenerte conectado, Con un procesador Intel® Core™ i3-6006U (2 GHz, 3 MB de caché, de 2 núcleos) , una memoria RAM de 4GB DDR4 y un disco duro de 500GB para poder almacenar toda la informacion podras llevar a cabo tus actividades habituales. Con un rendimiento fiable y una batería de larga duración puedes navegar, transmitir datos y mantenerte en contacto con lo que más te preocupa de forma sencilla. J151"
LENOVO,Lenovo V110 i5 7200 4GB 500GB DOS 15.6″ – Portátil,415,0,€,"342,98€ (sin IVA)",,"Disfruta al máximo de su procesador de 7ª Generación Intel i5-7200U, alucina con sus 4GB de RAM y con sus 500GB de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo no incluye sistema operativo. J151"
HP,HP 15-BS034NS I3 6006 8GB 500GB W10 – Portátil,417,"0,22",€,"344,81€ (sin IVA)",,"Te presentamos el portátil de HP de la serie 15-BS, con un procesador de 6ª generacion intel i3 6006 a 2.0 GHz con el que podras completar todas las tareas rapidamente. Almacena tus datos y abre aplicaciones como nunca con el disco duro de 500GB y 8GB de memoria RAM. Disfruta de la fluidez de un sistema operativo magnifico como es Windows 10. Con una pantalla de 15.6″ y un peso de 2KG podras llevartelo a cualquier lugar."
LENOVO,"Lenovo V110-15ISK I3 6006 4GB 128GB W10 15,6″ – Portátil",419,0,€,"346,28€ (sin IVA)",Sólo quedan 2 unidades,"Disfruta al máximo de su procesador de 6ª Generación Intel i3-6006U, alucina con sus 4GB de RAM y con sus 128GB de SSD de almacenamiento para guardar todos tus trabajos, vídeos y fotografías. El Lenovo V110 tiene una pantalla de 15.6″HD, la cual entrega imágenes brillantes y nítidas en formato de pantalla ancha de 16:9. También viene con tecnología antirreflejo que ayuda a reducir el riesgo de fatiga ocular. Este modelo incluye el sistema operativo Windows 10. J151"
LENOVO,Lenovo V110 i3 6006 8GB 1TB W10 15.6 – Portátil,425,0,€,"351,24€ (sin IVA)",Sólo queda 1 unidad,Portatil lenovo con proceador I3 6006 para poder trabajar en tu oficina o en casa equipado con 8gb y 1tb de disco duro y windows 10. J151
ASUS,ASUS X705NA BX044T N3350 4GB 1TB 17.3″ W10  – Portátil,425,0,€,"351,24€ (sin IVA)",Sólo queda 1 unidad,"ASUS VivoBook X705NA-BX044T. Tipo de producto: Portátil, Factor de forma: Concha. Familia de procesador: Intel® Celeron®, Modelo del procesador: N3350, Frecuencia del procesador: 1,10 GHz. Diagonal de la pantalla: 43,9 cm (17.3″), Tipo HD: HD+, Resolución de la pantalla: 1600 x 900 Pixeles. Memoria interna: 4 GB, Tipo de memoria interna: DDR3L-SDRAM. Capacidad total de almacenaje: 1000 GB, Unidad de almacenamiento: Unidad de disco duro. Adaptador gráfico incorporado. Sistema operativo instalado: Windows 10 Home. Color del producto: Gris"
HP,HP 250 G6 I3 6006 4GB 128GB DOS – Portátil,429,0,€,"354,55€ (sin IVA)",Sólo quedan 2 unidades,"Para tu día a día, el portátil procesador Intel® Core i3 de sexta generación combinado con la RAM de 4GB permiten alcanzar una velocidad en la ejecución de hasta 2.0 GHz; ya no habrán molestos bloqueos que te agoten la paciencia. No temas en perder la información almacenada por un fallo del componente; los SSD son discos sólidos que no contienen piezas mecánicas, por lo que son más resistentes a golpes y vibraciones. Ideal para aquellos que van arriba y abajo con su ordenador y necesitan un soporte fiable, rápido y resistente. Asimismo su capacidad de 128GB te permitirá almacenar gran cantidad de datos para que no tengas que recurrir a dispositivos externos.Los equipos FreeDos (sin sistema operativo) te dan la libertad de funcionar con un sistema libre para así barajar la instalación del que tú quieras. Si no te convence un sistema concreto o necesitas algo muy específico que no te pueden ofrecer, los ordenadores FreeDos son la mejor opción para ello. J151"
ACER,Acer A315 I5 7200 4GB 500GB DOS 15.6 – Portátil,430,"0,09",€,"355,45€ (sin IVA)",,"Te presentamos el Aspire 315 de Acer, un portátil con procesador Intel Core i5 7200 , 4GB de RAM, 500GB de disco duro y pantalla de 15.6″ , este portatil no lleva sistema operativo , instala el que mejor se adapte a tus necesidades"
ACER,Acer A315 I3 6006U 8GB 256GB DOS – Portátil,437,"0,82",€,"361,83€ (sin IVA)",,"Ordenador portatil con procesador Intel Core i3-6006U, disco solido de 256Gb, 8Gb de memoria de RAM y pantalla de 15,6″. No incluye sistema operativo. Velocidad y rendimiento para ocio y trabajo"
HP,HP 250 G6 I3 6006 4GB 256GB W10 – Portátil,444,"0,58",€,"367,42€ (sin IVA)",Sólo quedan 2 unidades,"Manténgase conectado con este PC Notebook HP 250 de precio económico. Complete las tareas profesionales con la tecnología Intel®, herramientas esenciales de colaboración y Windows 10 cargado en el HP 250. El chasis duradero ayuda a proteger el ordenador portátil contra los rigores del día. J151"
HP,HP 15-BS503NS I3 6006U 4GB 128GB W10 Blanco – Portátil,447,"0,7",€,"370,00€ (sin IVA)",Sólo queda 1 unidad,"Realiza todas las tareas diarias con éxito utilizando un portátil elegante creado para mantenerte conectado, así como"
